2025-10-16 19:39:53,957 | [2025-10-16 19:39:53.243] Text: Incredible performances by the | Result: positive | Q:False | Latency: 712.39ms
2025-10-16 19:39:54,993 | [2025-10-16 19:39:53.243] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 1749.88ms
2025-10-16 19:39:55,048 | [2025-10-16 19:39:53.242] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 1805.17ms
2025-10-16 19:39:55,100 | [2025-10-16 19:39:53.241] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 1859.00ms
2025-10-16 19:39:55,162 | [2025-10-16 19:39:53.256] Text: A solid film with great charac | Result: positive | Q:False | Latency: 1905.57ms
2025-10-16 19:39:55,219 | [2025-10-16 19:39:53.248] Text: Pretty boring, I fell asleep h | Result: negative | Q:False | Latency: 1969.52ms
2025-10-16 19:39:55,269 | [2025-10-16 19:39:53.243] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 2025.52ms
2025-10-16 19:39:55,325 | [2025-10-16 19:39:53.245] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 2079.88ms
2025-10-16 19:39:55,384 | [2025-10-16 19:39:53.245] Text: Poorly edited and badly paced. | Result: negative | Q:False | Latency: 2137.91ms
2025-10-16 19:39:55,433 | [2025-10-16 19:39:53.239] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 2193.63ms
2025-10-16 19:39:55,495 | [2025-10-16 19:39:53.242] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 2252.97ms
2025-10-16 19:39:55,558 | [2025-10-16 19:39:53.248] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 2309.50ms
2025-10-16 19:39:55,612 | [2025-10-16 19:39:53.243] Text: Pretty boring, I fell asleep h | Result: negative | Q:False | Latency: 2369.03ms
2025-10-16 19:39:55,931 | [2025-10-16 19:39:53.250] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 2680.80ms
2025-10-16 19:39:55,931 | [2025-10-16 19:39:53.252] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 2678.76ms
2025-10-16 19:39:55,931 | [2025-10-16 19:39:53.251] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 2680.24ms
2025-10-16 19:39:55,932 | [2025-10-16 19:39:53.249] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 2681.97ms
2025-10-16 19:39:55,950 | [2025-10-16 19:39:53.263] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 2687.06ms
2025-10-16 19:39:56,004 | [2025-10-16 19:39:53.254] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 2749.40ms
2025-10-16 19:39:56,052 | [2025-10-16 19:39:53.260] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 2791.37ms
2025-10-16 19:39:56,097 | [2025-10-16 19:39:53.260] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 2836.82ms
2025-10-16 19:39:56,150 | [2025-10-16 19:39:53.253] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 2896.95ms
2025-10-16 19:39:56,215 | [2025-10-16 19:39:53.250] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 2964.38ms
2025-10-16 19:39:56,268 | [2025-10-16 19:39:53.261] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 3006.83ms
2025-10-16 19:39:56,322 | [2025-10-16 19:39:53.255] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 3067.35ms
2025-10-16 19:39:56,374 | [2025-10-16 19:39:53.259] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 3115.46ms
2025-10-16 19:39:56,428 | [2025-10-16 19:39:53.249] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 3177.47ms
2025-10-16 19:39:56,476 | [2025-10-16 19:39:53.251] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 3224.12ms
2025-10-16 19:39:56,540 | [2025-10-16 19:39:53.250] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 3288.64ms
2025-10-16 19:39:56,603 | [2025-10-16 19:39:53.259] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 3343.76ms
2025-10-16 19:39:56,652 | [2025-10-16 19:39:53.247] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 3404.39ms
2025-10-16 19:39:56,708 | [2025-10-16 19:39:53.261] Text: Incredible performances by the | Result: positive | Q:False | Latency: 3447.18ms
2025-10-16 19:39:56,772 | [2025-10-16 19:39:53.249] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 3522.87ms
2025-10-16 19:39:56,838 | [2025-10-16 19:39:53.247] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 3590.13ms
2025-10-16 19:39:56,902 | [2025-10-16 19:39:53.247] Text: A dull and uninspired remake t | Result: negative | Q:False | Latency: 3654.09ms
2025-10-16 19:39:56,951 | [2025-10-16 19:39:53.254] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 3696.09ms
2025-10-16 19:39:57,012 | [2025-10-16 19:39:53.256] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 3755.80ms
2025-10-16 19:39:57,063 | [2025-10-16 19:39:53.252] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 3809.98ms
2025-10-16 19:39:57,114 | [2025-10-16 19:39:53.257] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 3856.89ms
2025-10-16 19:39:57,175 | [2025-10-16 19:39:53.245] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 3928.22ms
2025-10-16 19:39:57,176 | [2025-10-16 19:39:53.258] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 3917.62ms
2025-10-16 19:39:57,230 | [2025-10-16 19:39:53.254] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 3974.26ms
2025-10-16 19:39:57,277 | [2025-10-16 19:39:53.257] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 4020.00ms
2025-10-16 19:39:57,329 | [2025-10-16 19:39:53.253] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 4074.23ms
2025-10-16 19:39:57,383 | [2025-10-16 19:39:53.262] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 4120.53ms
2025-10-16 19:39:57,433 | [2025-10-16 19:39:53.248] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 4184.64ms
2025-10-16 19:39:57,481 | [2025-10-16 19:39:53.258] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 4222.43ms
2025-10-16 19:39:57,536 | [2025-10-16 19:39:53.258] Text: Incredible performances by the | Result: positive | Q:False | Latency: 4277.18ms
2025-10-16 19:39:57,603 | [2025-10-16 19:39:53.250] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 4352.46ms
2025-10-16 19:39:57,656 | [2025-10-16 19:39:53.252] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 4403.24ms
2025-10-16 19:39:57,708 | [2025-10-16 19:39:53.257] Text: Incredible performances by the | Result: positive | Q:False | Latency: 4450.81ms
2025-10-16 19:39:57,776 | [2025-10-16 19:39:53.253] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 4522.25ms
2025-10-16 19:39:57,832 | [2025-10-16 19:39:53.248] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 4583.40ms
2025-10-16 19:39:57,896 | [2025-10-16 19:39:53.260] Text: The acting was strong, but the | Result: negative | Q:False | Latency: 4635.46ms
2025-10-16 19:39:57,944 | [2025-10-16 19:39:53.266] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 4678.83ms
2025-10-16 19:39:58,007 | [2025-10-16 19:39:53.267] Text: The acting was strong, but the | Result: negative | Q:False | Latency: 4739.01ms
2025-10-16 19:39:58,066 | [2025-10-16 19:39:53.261] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 4804.54ms
2025-10-16 19:39:58,129 | [2025-10-16 19:39:53.266] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 4863.28ms
2025-10-16 19:39:58,196 | [2025-10-16 19:39:53.264] Text: A solid film with great charac | Result: positive | Q:False | Latency: 4930.92ms
2025-10-16 19:39:58,260 | [2025-10-16 19:39:53.267] Text: A dull and uninspired remake t | Result: negative | Q:False | Latency: 4993.26ms
2025-10-16 19:39:58,310 | [2025-10-16 19:39:53.266] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 5043.42ms
2025-10-16 19:39:58,365 | [2025-10-16 19:39:53.259] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 5105.89ms
2025-10-16 19:39:58,419 | [2025-10-16 19:39:53.257] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 5162.31ms
2025-10-16 19:39:58,470 | [2025-10-16 19:39:53.263] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 5205.83ms
2025-10-16 19:39:58,539 | [2025-10-16 19:39:53.259] Text: Great soundtrack, mediocre sto | Result: positive | Q:False | Latency: 5279.67ms
2025-10-16 19:39:58,602 | [2025-10-16 19:39:53.264] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 5337.66ms
2025-10-16 19:39:58,657 | [2025-10-16 19:39:53.262] Text: Honestly, I don’t get the hype | Result: positive | Q:False | Latency: 5394.39ms
2025-10-16 19:39:58,709 | [2025-10-16 19:39:53.260] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 5447.62ms
2025-10-16 19:39:58,757 | [2025-10-16 19:39:53.269] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 5487.83ms
2025-10-16 19:39:58,813 | [2025-10-16 19:39:53.258] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 5554.52ms
2025-10-16 19:39:58,863 | [2025-10-16 19:39:53.264] Text: Unexpectedly good! I went in w | Result: positive | Q:False | Latency: 5598.20ms
2025-10-16 19:39:58,918 | [2025-10-16 19:39:53.266] Text: Incredible performances by the | Result: positive | Q:False | Latency: 5650.92ms
2025-10-16 19:39:58,967 | [2025-10-16 19:39:53.266] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 5700.76ms
2025-10-16 19:39:59,034 | [2025-10-16 19:39:53.276] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 5757.79ms
2025-10-16 19:39:59,082 | [2025-10-16 19:39:53.273] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 5808.40ms
2025-10-16 19:39:59,142 | [2025-10-16 19:39:53.268] Text: Incredible performances by the | Result: positive | Q:False | Latency: 5873.51ms
2025-10-16 19:39:59,193 | [2025-10-16 19:39:53.269] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 5922.92ms
2025-10-16 19:39:59,248 | [2025-10-16 19:39:53.275] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 5971.50ms
2025-10-16 19:39:59,315 | [2025-10-16 19:39:53.275] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 6039.40ms
2025-10-16 19:39:59,363 | [2025-10-16 19:39:53.271] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 6090.69ms
2025-10-16 19:39:59,418 | [2025-10-16 19:39:53.273] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 6143.84ms
2025-10-16 19:39:59,468 | [2025-10-16 19:39:53.275] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 6191.27ms
2025-10-16 19:39:59,538 | [2025-10-16 19:39:53.276] Text: A flawed but fascinating film  | Result: positive | Q:False | Latency: 6260.94ms
2025-10-16 19:39:59,586 | [2025-10-16 19:39:53.251] Text: Honestly, I don’t get the hype | Result: positive | Q:False | Latency: 6333.39ms
2025-10-16 19:39:59,611 | Error: Server disconnected
2025-10-16 19:39:59,611 | Error: Server disconnected
2025-10-16 19:39:59,611 | Error: Server disconnected
2025-10-16 19:39:59,611 | Error: Server disconnected
2025-10-16 19:39:59,641 | Error: Server disconnected
2025-10-16 19:39:59,697 | Error: Server disconnected
2025-10-16 19:39:59,762 | Error: Server disconnected
2025-10-16 19:39:59,831 | Error: Server disconnected
2025-10-16 19:39:59,988 | [2025-10-16 19:39:59.590] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 399.44ms
2025-10-16 19:40:00,079 | [2025-10-16 19:39:59.590] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 489.11ms
2025-10-16 19:40:00,139 | [2025-10-16 19:39:59.593] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 546.11ms
2025-10-16 19:40:00,228 | [2025-10-16 19:39:59.590] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 638.67ms
2025-10-16 19:40:00,266 | [2025-10-16 19:39:59.590] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 675.81ms
2025-10-16 19:40:00,343 | [2025-10-16 19:39:59.594] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 749.53ms
2025-10-16 19:40:00,410 | [2025-10-16 19:39:59.594] Text: Incredible performances by the | Result: positive | Q:False | Latency: 816.32ms
2025-10-16 19:40:00,449 | [2025-10-16 19:39:59.592] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 857.19ms
2025-10-16 19:40:00,497 | [2025-10-16 19:39:59.590] Text: Unexpectedly good! I went in w | Result: positive | Q:False | Latency: 906.97ms
2025-10-16 19:40:00,550 | [2025-10-16 19:39:59.590] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 959.59ms
2025-10-16 19:40:00,601 | [2025-10-16 19:39:59.593] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 1008.65ms
2025-10-16 19:40:00,667 | [2025-10-16 19:39:59.590] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 1077.33ms
2025-10-16 19:40:00,720 | [2025-10-16 19:39:59.593] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 1127.10ms
2025-10-16 19:40:00,770 | [2025-10-16 19:39:59.592] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 1177.70ms
2025-10-16 19:40:00,879 | [2025-10-16 19:39:59.593] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 1287.02ms
2025-10-16 19:40:00,880 | [2025-10-16 19:39:59.594] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 1285.87ms
2025-10-16 19:40:00,971 | [2025-10-16 19:39:59.593] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 1378.15ms
2025-10-16 19:40:01,106 | [2025-10-16 19:39:59.592] Text: A solid film with great charac | Result: positive | Q:False | Latency: 1514.02ms
2025-10-16 19:40:01,180 | [2025-10-16 19:39:59.593] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 1588.04ms
2025-10-16 19:40:01,279 | [2025-10-16 19:39:59.595] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 1684.26ms
2025-10-16 19:40:01,390 | [2025-10-16 19:39:59.593] Text: A dull and uninspired remake t | Result: negative | Q:False | Latency: 1796.16ms
2025-10-16 19:40:01,679 | [2025-10-16 19:39:59.591] Text: Great soundtrack, mediocre sto | Result: positive | Q:False | Latency: 2088.50ms
2025-10-16 19:40:01,980 | [2025-10-16 19:39:59.594] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 2386.38ms
2025-10-16 19:40:02,201 | [2025-10-16 19:39:59.591] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 2610.55ms
2025-10-16 19:40:02,479 | [2025-10-16 19:39:59.591] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 2888.35ms
2025-10-16 19:40:02,645 | [2025-10-16 19:39:59.595] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 3051.07ms
2025-10-16 19:40:02,740 | [2025-10-16 19:39:59.594] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 3145.25ms
2025-10-16 19:40:02,851 | [2025-10-16 19:39:59.592] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 3259.61ms
2025-10-16 19:40:02,974 | [2025-10-16 19:39:59.592] Text: It’s okay — not great, not ter | Result: negative | Q:False | Latency: 3382.25ms
2025-10-16 19:40:03,089 | [2025-10-16 19:39:59.592] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 3496.66ms
2025-10-16 19:40:03,251 | [2025-10-16 19:39:59.595] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 3655.51ms
2025-10-16 19:40:03,460 | [2025-10-16 19:39:59.606] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 3853.08ms
2025-10-16 19:40:03,576 | [2025-10-16 19:39:59.595] Text: Heartwarming and funny. Remind | Result: positive | Q:False | Latency: 3981.10ms
2025-10-16 19:40:03,709 | [2025-10-16 19:39:59.607] Text: A solid film with great charac | Result: positive | Q:False | Latency: 4101.60ms
2025-10-16 19:40:03,846 | [2025-10-16 19:39:59.597] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 4248.73ms
2025-10-16 19:40:03,944 | [2025-10-16 19:39:59.597] Text: The humor was forced, and most | Result: negative | Q:False | Latency: 4346.46ms
2025-10-16 19:40:04,087 | [2025-10-16 19:39:59.596] Text: Pretty boring, I fell asleep h | Result: negative | Q:False | Latency: 4490.14ms
2025-10-16 19:40:04,162 | [2025-10-16 19:39:59.596] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 4565.59ms
2025-10-16 19:40:04,246 | [2025-10-16 19:39:59.597] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 4648.87ms
2025-10-16 19:40:04,328 | [2025-10-16 19:39:59.600] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 4727.63ms
2025-10-16 19:40:04,440 | [2025-10-16 19:39:59.596] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 4843.64ms
2025-10-16 19:40:04,550 | [2025-10-16 19:39:59.596] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 4953.34ms
2025-10-16 19:40:04,654 | [2025-10-16 19:39:59.601] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 5053.14ms
2025-10-16 19:40:04,753 | [2025-10-16 19:39:59.597] Text: Predictable ending but still e | Result: positive | Q:False | Latency: 5155.29ms
2025-10-16 19:40:04,852 | [2025-10-16 19:39:59.600] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 5251.50ms
2025-10-16 19:40:04,943 | [2025-10-16 19:39:59.599] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 5344.78ms
2025-10-16 19:40:05,015 | [2025-10-16 19:39:59.605] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 5409.06ms
2025-10-16 19:40:05,133 | [2025-10-16 19:39:59.601] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 5530.88ms
2025-10-16 19:40:05,221 | [2025-10-16 19:39:59.607] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 5613.20ms
2025-10-16 19:40:05,294 | [2025-10-16 19:39:59.595] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 5698.80ms
2025-10-16 19:40:05,377 | [2025-10-16 19:39:59.601] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 5775.06ms
2025-10-16 19:40:05,464 | [2025-10-16 19:39:59.607] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 5856.32ms
2025-10-16 19:40:05,624 | [2025-10-16 19:39:59.596] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 6027.75ms
2025-10-16 19:40:05,693 | [2025-10-16 19:39:59.599] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 6094.73ms
2025-10-16 19:40:05,794 | [2025-10-16 19:39:59.601] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 6191.95ms
2025-10-16 19:40:05,925 | [2025-10-16 19:39:59.606] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 6318.29ms
2025-10-16 19:40:06,024 | [2025-10-16 19:39:59.596] Text: A moving story told with hones | Result: positive | Q:False | Latency: 6428.27ms
2025-10-16 19:40:06,101 | [2025-10-16 19:39:59.604] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 6496.67ms
2025-10-16 19:40:06,172 | [2025-10-16 19:39:59.598] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 6573.62ms
2025-10-16 19:40:06,247 | [2025-10-16 19:39:59.597] Text: A solid film with great charac | Result: positive | Q:False | Latency: 6649.39ms
2025-10-16 19:40:06,328 | [2025-10-16 19:39:59.597] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 6729.82ms
2025-10-16 19:40:06,380 | [2025-10-16 19:39:59.607] Text: Unexpectedly good! I went in w | Result: positive | Q:False | Latency: 6771.89ms
2025-10-16 19:40:06,461 | [2025-10-16 19:39:59.598] Text: Great soundtrack, mediocre sto | Result: positive | Q:False | Latency: 6862.28ms
2025-10-16 19:40:06,534 | [2025-10-16 19:39:59.598] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 6935.71ms
2025-10-16 19:40:06,592 | [2025-10-16 19:39:59.602] Text: The director’s best work yet — | Result: positive | Q:False | Latency: 6989.19ms
2025-10-16 19:40:06,657 | [2025-10-16 19:39:59.600] Text: Loud, messy, and overlong. I c | Result: negative | Q:False | Latency: 7056.36ms
2025-10-16 19:40:06,773 | [2025-10-16 19:39:59.607] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 7164.70ms
2025-10-16 19:40:06,886 | [2025-10-16 19:39:59.607] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 7277.75ms
2025-10-16 19:40:06,977 | [2025-10-16 19:39:59.605] Text: Incredible performances by the | Result: positive | Q:False | Latency: 7371.86ms
2025-10-16 19:40:07,077 | [2025-10-16 19:39:59.598] Text: Loved it! The chemistry betwee | Result: positive | Q:False | Latency: 7479.31ms
2025-10-16 19:40:07,172 | [2025-10-16 19:39:59.598] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 7574.56ms
2025-10-16 19:40:07,230 | [2025-10-16 19:39:59.595] Text: Incredible performances by the | Result: positive | Q:False | Latency: 7633.43ms
2025-10-16 19:40:07,287 | [2025-10-16 19:39:59.602] Text: A complete mess from start to  | Result: negative | Q:False | Latency: 7684.67ms
2025-10-16 19:40:07,341 | [2025-10-16 19:39:59.604] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 7736.35ms
2025-10-16 19:40:07,416 | [2025-10-16 19:39:59.601] Text: Good ideas, but the execution  | Result: negative | Q:False | Latency: 7814.90ms
2025-10-16 19:40:07,499 | [2025-10-16 19:39:59.599] Text: A solid film with great charac | Result: positive | Q:False | Latency: 7899.08ms
2025-10-16 19:40:07,546 | [2025-10-16 19:39:59.608] Text: The twists were brilliant! I d | Result: positive | Q:False | Latency: 7937.43ms
2025-10-16 19:40:07,603 | [2025-10-16 19:39:59.602] Text: The movie tried too hard to be | Result: negative | Q:False | Latency: 8001.27ms
2025-10-16 19:40:07,658 | [2025-10-16 19:39:59.606] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 8050.54ms
2025-10-16 19:40:07,730 | [2025-10-16 19:39:59.605] Text: Incredible performances by the | Result: positive | Q:False | Latency: 8123.73ms
2025-10-16 19:40:07,809 | [2025-10-16 19:39:59.607] Text: Short, sweet, and hilarious. P | Result: positive | Q:False | Latency: 8202.07ms
2025-10-16 19:40:07,868 | [2025-10-16 19:39:59.605] Text: Honestly, I don’t get the hype | Result: positive | Q:False | Latency: 8261.97ms
2025-10-16 19:40:07,944 | [2025-10-16 19:39:59.602] Text: Incredible performances by the | Result: positive | Q:False | Latency: 8340.52ms
2025-10-16 19:40:08,031 | [2025-10-16 19:39:59.608] Text: A surprisingly emotional journ | Result: positive | Q:False | Latency: 8422.03ms
2025-10-16 19:40:08,109 | [2025-10-16 19:39:59.608] Text: Great soundtrack, mediocre sto | Result: positive | Q:False | Latency: 8500.01ms
2025-10-16 19:40:08,195 | [2025-10-16 19:39:59.609] Text: A dull and uninspired remake t | Result: negative | Q:False | Latency: 8585.26ms
2025-10-16 19:40:08,258 | [2025-10-16 19:39:59.608] Text: Pretty boring, I fell asleep h | Result: negative | Q:False | Latency: 8648.64ms
2025-10-16 19:40:08,340 | [2025-10-16 19:39:59.609] Text: Visually stunning, with music  | Result: positive | Q:False | Latency: 8729.88ms
2025-10-16 19:40:08,401 | [2025-10-16 19:39:59.609] Text: Cringe-worthy dialogue and woo | Result: negative | Q:False | Latency: 8791.10ms
2025-10-16 19:40:08,483 | [2025-10-16 19:39:59.610] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 8872.55ms
2025-10-16 19:40:08,554 | [2025-10-16 19:39:59.609] Text: One of the worst films I’ve se | Result: negative | Q:False | Latency: 8944.35ms
2025-10-16 19:40:08,638 | [2025-10-16 19:39:59.609] Text: An absolute masterpiece. Every | Result: positive | Q:False | Latency: 9027.85ms
2025-10-16 19:40:08,718 | Error: Server disconnected
2025-10-16 19:40:08,846 | Error: Server disconnected
2025-10-16 19:40:09,031 | [2025-10-16 19:40:08.640] Text: Terrible script. Not even the  | Result: negative | Q:False | Latency: 390.03ms
2025-10-16 19:40:09,080 | [2025-10-16 19:40:08.643] Text: Beautiful cinematography but z | Result: positive | Q:False | Latency: 436.68ms
2025-10-16 19:40:09,158 | [2025-10-16 19:40:08.642] Text: A moving story told with hones | Result: positive | Q:False | Latency: 515.49ms
